metric,value
accuracy,0.806282722513089
roc_auc,0.7862979258328096
n_train,764.0
n_test,191.0
n_features,9.0
high_backlog_threshold,2.0
backlog_lag_1,0.29593357356473826
bio_lag_1,0.1252951389040264
demo_lag_1,0.1202425639008564
demo_lag_2,0.10351906637707611
bio_lag_2,0.09020628745364208
pct_5_17,0.0885574650916668
pct_0_5,0.08428693402982206
pct_18_plus,0.0736625400179487
tier,0.018296430660223253
