state,district,ISI,RCS,ABS,mean_volume,cv,months_active,months_with_data,prop_5_17,prop_17_plus
Andaman & Nicobar Islands,Andamans,0.167,1.0,0.6582,223.88888888888889,0.282763787668736,9,9,0.17022332506203475,0.8297766749379653
Andaman & Nicobar Islands,Nicobar,0.224,1.0,0.9934,201.22222222222223,0.3809050237430979,9,9,0.5477636664826063,0.45223633351739373
Andaman & Nicobar Islands,Nicobars,0.0,0.2222,1.0,1.0,0.0,2,2,0.5,0.5
Andaman & Nicobar Islands,North And Middle Andaman,0.1717,1.0,0.9753,709.2222222222222,0.2825068864762542,9,9,0.59219802600658,0.40780197399342
Andaman & Nicobar Islands,South Andaman,0.1387,1.0,0.9444,1165.2222222222222,0.21816307796068377,9,9,0.6379326785544007,0.36206732144559933
Andhra Pradesh,Adilabad,0.2148,1.0,0.7859,5782.0,0.27059501470990743,9,9,0.23459779391982782,0.7654022060801722
Andhra Pradesh,Alluri Sitharama Raju,0.1332,1.0,0.9937,2067.4444444444443,0.19346939314038458,9,9,0.4534852474875047,0.5465147525124953
Andhra Pradesh,Anakapalli,0.209,1.0,0.9979,747.0,0.3459550513512063,9,9,0.5268481332738361,0.47315186672616394
Andhra Pradesh,Anantapur,0.2273,1.0,0.9601,10396.111111111111,0.2138411398514022,9,9,0.382985090578742,0.6170149094212579
Andhra Pradesh,Ananthapur,0.3954,1.0,0.7922,9348.0,0.5199122991950872,9,9,0.7616840203489754,0.23831597965102458
Andhra Pradesh,Ananthapuramu,0.4533,1.0,0.6667,12178.0,0.5714125437927237,9,9,0.8260159486140763,0.17398405138592363
Andhra Pradesh,Annamayya,0.2465,1.0,0.9731,1079.111111111111,0.40454932810309174,9,9,0.596169686985173,0.403830313014827
Andhra Pradesh,Bapatla,0.3315,1.0,0.9325,664.6666666666666,0.5575176866177536,9,9,0.6517886994316282,0.3482113005683718
Andhra Pradesh,Chittoor,0.4737,1.0,0.9138,27933.88888888889,0.3393502343721995,9,9,0.6710685944989161,0.3289314055010839
